speed,MAX HOVER COUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1.5,115,109,104,98,93,88,83,78,74,69,65,61,56,53,49,45,42,38,35,32,29,26,23,21,19,16,14,12,10,9,7,6,5,4,3,2,1,1,0,0
3,230,219,208,197,186,176,166,157,147,138,130,121,113,105,97,90,83,76,70,64,58,52,47,42,37,33,28,25,21,18,15,12,9,7,5,4,2,1,1,0
4.5,345,328,311,295,280,264,250,235,221,208,194,182,169,158,146,135,125,114,105,96,87,78,70,63,56,49,43,37,31,26,22,18,14,11,8,5,3,2,1,0
6,460,437,415,394,373,352,333,313,295,277,259,242,226,210,195,180,166,153,140,127,116,104,94,84,74,65,57,49,42,35,29,24,19,14,10,7,5,3,1,0
7.5,575,547,519,492,466,441,416,392,369,346,324,303,282,263,244,225,208,191,175,159,144,130,117,105,93,81,71,61,52,44,36,29,23,18,13,9,6,3,1,0
9,690,656,623,591,559,529,499,470,442,415,389,363,339,315,292,270,249,229,210,191,173,157,141,125,111,98,85,74,63,53,44,35,28,21,16,11,7,4,2,0
10.5,805,765,727,689,652,617,582,549,516,484,454,424,395,368,341,315,291,267,245,223,202,183,164,146,130,114,99,86,73,62,51,41,33,25,18,13,8,4,2,0
12,920,875,831,788,746,705,665,627,590,553,518,485,452,420,390,360,332,305,279,255,231,209,187,167,148,130,114,98,84,70,58,47,37,29,21,15,9,5,2,0
13.5,1035,984,934,886,839,793,749,705,663,623,583,545,508,473,439,406,374,343,314,287,260,235,211,188,167,147,128,110,94,79,65,53,42,32,24,16,10,6,2,0
15,1150,1093,1038,984,932,881,832,784,737,692,648,606,565,525,487,451,415,382,349,318,289,261,234,209,185,163,142,123,105,88,73,59,47,36,26,18,12,6,3,0
16.5,1265,1203,1142,1083,1025,969,915,862,811,761,713,666,621,578,536,496,457,420,384,350,318,287,258,230,204,179,156,135,115,97,80,65,51,39,29,20,13,7,3,0
18,1380,1312,1246,1181,1119,1057,998,940,884,830,778,727,678,630,585,541,498,458,419,382,347,313,281,251,222,196,170,147,125,105,87,71,56,43,31,22,14,8,3,0
19.5,1495,1421,1350,1280,1212,1146,1081,1019,958,899,842,787,734,683,633,586,540,496,454,414,376,339,305,272,241,212,185,159,136,114,95,77,61,46,34,24,15,8,3,0
21,1610,1531,1453,1378,1305,1234,1164,1097,1032,969,907,848,791,735,682,631,582,534,489,446,404,365,328,293,259,228,199,172,146,123,102,83,65,50,37,25,16,9,4,1
22.5,1725,1640,1557,1477,1398,1322,1248,1175,1106,1038,972,909,847,788,731,676,623,572,524,478,433,391,351,314,278,244,213,184,157,132,109,88,70,54,39,27,17,10,4,1
